最好的一次組合是第443次 0.0005	30	64	1024	1024	0.3	0.95	0	0.99	1228795.066
alpha,n_epochs,batch_size,layer1_size,layer2_size,policy_clip,gamma,entropy,gae_lambda,final_reward
0.0001,30,64,256,1024,0.3,0.95,0.01,0.95,1049713.3377484712
0.0001,30,64,256,1024,0.3,0.95,0.01,0.99,1147776.7785065696
0.0001,30,64,256,1024,0.3,0.995,0.0,0.95,1093874.0100829192
0.0001,30,64,256,1024,0.3,0.995,0.0,0.99,1112992.9502977794
0.0001,30,64,256,1024,0.3,0.995,0.01,0.95,963999.5032783097
0.0001,30,64,256,1024,0.3,0.995,0.01,0.99,1192786.930538618
0.0001,30,64,1024,256,0.1,0.95,0.0,0.95,1095845.5620228597
0.0001,30,64,1024,256,0.1,0.95,0.0,0.99,1065681.2019551585
0.0001,30,64,1024,256,0.1,0.95,0.01,0.95,1118633.5714693798
0.0001,30,64,1024,256,0.1,0.95,0.01,0.99,1031526.7628610985
0.0001,30,64,1024,256,0.1,0.995,0.0,0.95,1107619.5397735
0.0001,30,64,1024,256,0.1,0.995,0.0,0.99,1087973.2935772198
0.0001,30,64,1024,256,0.1,0.995,0.01,0.95,1021155.2551063094
0.0001,30,64,1024,256,0.1,0.995,0.01,0.99,1018688.8284421283
0.0001,30,64,1024,256,0.3,0.95,0.0,0.95,1074997.4899811505
0.0001,30,64,1024,256,0.3,0.95,0.0,0.99,1067839.744117339
0.0001,30,64,1024,256,0.3,0.95,0.01,0.95,1161702.6279680706
0.0001,30,64,1024,256,0.3,0.95,0.01,0.99,1008509.4536527409
0.0001,30,64,1024,256,0.3,0.995,0.0,0.95,1041736.4769432397
0.0001,30,64,1024,256,0.3,0.995,0.0,0.99,1062766.7044635508
0.0001,30,64,1024,256,0.3,0.995,0.01,0.95,1125839.16541889
0.0001,30,64,1024,256,0.3,0.995,0.01,0.99,1095659.7485595087
0.0001,30,64,1024,1024,0.1,0.95,0.0,0.95,1066273.8947173208
0.0001,30,64,1024,1024,0.1,0.95,0.0,0.99,1085032.0854230104
0.0001,30,64,1024,1024,0.1,0.95,0.01,0.95,1030483.6280219001
0.0001,30,64,1024,1024,0.1,0.95,0.01,0.99,1032821.6355822403
0.0001,30,64,1024,1024,0.1,0.995,0.0,0.95,1065703.9557870703
0.0001,30,64,1024,1024,0.1,0.995,0.0,0.99,1100670.35377775
0.0001,30,64,1024,1024,0.1,0.995,0.01,0.95,1013847.9795978899
0.0001,30,64,1024,1024,0.1,0.995,0.01,0.99,970896.9511173601
0.0001,30,64,1024,1024,0.3,0.95,0.0,0.95,1095571.59166052
0.0001,30,64,1024,1024,0.3,0.95,0.0,0.99,1007688.9345577402
0.0001,30,64,1024,1024,0.3,0.95,0.01,0.95,974158.0075193503
0.0001,30,64,1024,1024,0.3,0.95,0.01,0.99,948658.16238645
0.0001,30,64,1024,1024,0.3,0.995,0.0,0.95,1090440.7549109699
0.0001,30,64,1024,1024,0.3,0.995,0.0,0.99,1069826.8213915601
0.0001,30,64,1024,1024,0.3,0.995,0.01,0.95,1060575.850678581
0.0001,30,64,1024,1024,0.3,0.995,0.01,0.99,1019066.7877312716
0.0001,30,256,256,256,0.1,0.95,0.0,0.95,1099427.2251758901
0.0001,30,256,256,256,0.1,0.95,0.0,0.99,1099094.1944480694
0.0001,30,256,256,256,0.1,0.95,0.01,0.95,1152165.163323719
0.0001,30,256,256,256,0.1,0.95,0.01,0.99,1057014.819045001
0.0001,30,256,256,256,0.1,0.995,0.0,0.95,1051483.3244072595
0.0001,30,256,256,256,0.1,0.995,0.0,0.99,1041197.3739746104
0.0001,30,256,256,256,0.1,0.995,0.01,0.95,1108894.4863263802
0.0001,30,256,256,256,0.1,0.995,0.01,0.99,1144068.0942607997
0.0001,30,256,256,256,0.3,0.95,0.0,0.95,1071910.3451642804
0.0001,30,256,256,256,0.3,0.95,0.0,0.99,1076298.76311205
0.0001,30,256,256,256,0.3,0.95,0.01,0.95,1068710.7351340102
0.0001,30,256,256,256,0.3,0.95,0.01,0.99,1011388.9583332699
0.0001,30,256,256,256,0.3,0.995,0.0,0.95,985227.2191315191
0.0001,30,256,256,256,0.3,0.995,0.0,0.99,1050557.1827146302
0.0001,30,256,256,256,0.3,0.995,0.01,0.95,1111780.100781171
0.0001,30,256,256,256,0.3,0.995,0.01,0.99,972690.792166879
0.0001,30,256,256,1024,0.1,0.95,0.0,0.95,977944.0715049399
0.0001,30,256,256,1024,0.1,0.95,0.0,0.99,1018576.3816468
0.0001,30,256,256,1024,0.1,0.95,0.01,0.95,1051554.5691521312
0.0001,30,256,256,1024,0.1,0.95,0.01,0.99,1009325.8173397384
0.0001,30,256,256,1024,0.1,0.995,0.0,0.95,1113589.3208706605
0.0001,30,256,256,1024,0.1,0.995,0.0,0.99,1021761.1532035806
0.0001,30,256,256,1024,0.1,0.995,0.01,0.95,1110370.7856242699
0.0001,30,256,256,1024,0.1,0.995,0.01,0.99,1082371.6645449996
0.0001,30,256,256,1024,0.3,0.95,0.0,0.95,1074073.3614760202
0.0001,30,256,256,1024,0.3,0.95,0.0,0.99,1098257.4923370392
0.0001,30,256,256,1024,0.3,0.95,0.01,0.95,950840.6651883391
0.0001,30,256,256,1024,0.3,0.95,0.01,0.99,1114436.5406787198
0.0001,30,256,256,1024,0.3,0.995,0.0,0.95,1023308.0079523013
